,number,time,duration,screen_x,screen_y
796,797,508530,100,1165,863
797,798,509447,140,425,787
798,799,510205,120,471,818
799,800,511481,159,461,874
800,801,511680,100,471,892
801,802,512438,100,72,800
802,803,512936,140,473,916
803,804,513375,179,474,961
804,805,514252,100,467,939
805,806,515728,100,459,673
806,807,516206,120,428,686
807,808,517522,100,458,863
808,809,517761,140,447,876
809,810,518319,120,437,892
810,811,518539,100,450,865
811,812,518658,139,460,887
812,813,518818,179,460,851
813,814,519456,140,439,838
814,815,520034,120,464,851
815,816,520373,239,455,884
816,817,520772,120,453,858
817,818,522128,140,532,824
818,819,523663,239,461,766
819,820,526793,120,783,883
820,821,526972,100,810,895
821,822,527770,100,510,825
822,823,528029,160,438,806
823,824,529824,120,466,805
824,825,531817,100,474,192
825,826,532834,100,620,187
826,827,533312,140,779,828
827,828,533652,140,768,863
828,829,533871,160,826,856
829,830,534848,160,601,236
830,831,536323,100,808,837
831,832,537519,140,103,810
832,833,538177,180,814,870
833,834,538377,140,784,844
834,835,540709,100,38,842
835,836,541407,160,804,908
836,837,544418,100,303,226
837,838,547468,100,24,230
838,839,548106,179,119,703
839,840,548844,239,23,740
840,841,549601,100,56,932
841,842,550000,100,74,758
842,843,550937,100,112,722
843,844,551216,159,71,747
844,845,551416,160,81,756
845,846,553768,120,797,912
846,847,555344,100,729,881
847,848,556460,160,732,864
848,849,557258,100,742,766
849,850,558833,100,250,235
850,851,559032,160,243,231
851,852,561125,100,39,252
852,853,562122,100,44,257
853,854,562661,100,65,751
854,855,564435,139,777,677
855,856,564594,199,756,731
856,857,564914,100,752,790
857,858,565651,140,740,615
858,859,566130,239,758,639
859,860,566389,100,761,667
860,861,566827,140,775,684
861,862,567107,100,744,590
862,863,567446,160,801,601
863,864,569898,100,730,639
864,865,570576,120,786,583
865,866,571413,140,777,679
866,867,571872,140,799,631
867,868,572629,139,782,672
868,869,574085,120,83,605
869,870,576736,100,56,637
870,871,577335,100,114,690
871,872,578850,159,274,237
872,873,579528,120,600,246
873,874,579886,120,461,274
874,875,580186,100,494,312
875,876,580983,160,773,695
876,877,581641,100,553,242
877,878,581900,140,450,236
878,879,583854,120,77,638
879,880,583994,140,78,607
880,881,585409,179,778,641
881,882,601479,100,209,704
882,883,602077,100,829,768
883,884,609175,100,129,701
884,885,609554,100,116,733
885,886,632980,160,799,730
886,887,633877,199,95,613
887,888,634954,120,140,226
888,889,635632,100,802,690
889,890,636290,160,829,673
890,891,636549,100,804,761
891,892,636768,120,807,742
892,893,637167,120,787,757
893,894,637346,199,844,770
894,895,637645,279,800,755
895,896,638244,379,817,772
896,897,638742,239,860,777
897,898,639101,120,795,771
898,899,639340,100,816,774
899,900,639838,100,780,766
900,901,641294,100,136,703
901,902,641473,180,85,656
902,903,642211,100,817,794
903,904,642410,199,775,761
904,905,642690,120,828,757
905,906,642829,120,839,774
906,907,642969,279,801,773
907,908,643308,139,851,778
908,909,643487,160,749,783
909,910,643686,120,745,792
910,911,643926,120,764,767
911,912,644125,120,779,770
912,913,644305,140,788,788
